owner,type,violations,complaints,buildings,viol_per_bldg,top_category,top_district,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9
WILLIAMS AND LOWE LLC,LLC,11,45,6,1.8,No type recorded,3,0,0,11,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
"MENG,SHU FEN CO TR  SHU FEN MENG",Corporation,11,10,1,11.0,No type recorded,4,0,0,0,11,0,0,0,0,0,0,0,0,21,0,0,0,0,0
VASU SPE 1 LLC AND,LLC,11,5,1,11.0,Graffiti,4,0,0,0,11,0,0,0,0,0,0,0,0,16,0,0,0,0,0
2018-1 IH BORROWER LP,Limited Partnership,11,19,5,2.2,Property Maintenance,9,0,0,0,2,0,0,0,2,7,0,0,0,4,0,0,0,6,20
1033 HOFFMAN APTS LLC,LLC,11,20,1,11.0,No type recorded,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,31,0,0,0
1088 ALAMITOS AVE LLC,LLC,11,17,1,11.0,No type recorded,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,28,0,0,0
DARUMA INVESTMENTS LLC,LLC,11,6,1,11.0,No type recorded,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,17,0,0,0
ELM TERRACE APARTMENTS LLC,LLC,11,16,1,11.0,No type recorded,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,27,0,0,0
M AND MI INVESTMENT LLC,LLC,11,6,1,11.0,No type recorded,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,17,0,0,0
10TH 1155 LLC,LLC,11,12,2,5.5,No type recorded,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,23,0,0,0
SEQUOIA LANDS LLC,LLC,11,54,2,5.5,Other,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,65,0,0
"MONTOYA,BAN C CO TR MONTUYA",Corporation,11,7,3,3.7,Property Maintenance,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,18,0,0
TC-LB 1 LLC,LLC,11,19,1,11.0,No type recorded,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,30,0
PARK VILLA 5230 LLC,LLC,11,19,1,11.0,No type recorded,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,30,0
NP CAPITAL LLC,LLC,11,18,1,11.0,No type recorded,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,29,0
500 E PLEASANT STREET LLC,LLC,11,15,1,11.0,No type recorded,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,26,0
